composite_index,site,n_years,R2,Pearson_r
9,g055_shrubs_bd,11,0.4671890307478751,0.8054809352122412
9,g056_trees_bd,10,-0.37376257969731386,0.20688048234499445
9,g057_grass_man,11,-0.09414144354815734,0.22901569793228127
9,g058_shrubs_be,11,-1.392678867243632,0.05749209873036672
9,g059_grass_man,10,-0.6988424575414165,-0.5695075765604086
9,g060_shrubs_be,11,0.1575874148618578,0.5038179831846513
9,g061_grass_nat,11,0.0730082709261567,0.2858388511915999
9,g063_shrubs_bd,11,-0.29044216763876585,0.277935634091938
9,g064_shrubs_be,11,-0.06640711186550963,0.007124464285773226
9,g065_shrubs_bd,11,0.39152674670375065,0.6785040160553779
9,g066_grass_nat,11,0.18993260358366726,0.5195401962612886
9,g067_grass_nat,11,-0.03183319511268645,0.12850913014786322
9,g068_grass_nat,11,-1.6499043999231056,-0.06457491714855088
9,g069_trees_nd,9,-0.8382488262193997,0.40023191840098543
10,g019_trees_bd,9,-1.0124440643806323,0.5313098782148925
10,g024_trees_ne,11,0.07083019155227,0.43373587497174676
10,g025_grass_nat,10,-0.475825451305693,0.5414027827347909
10,g029_trees_bd,9,0.18797093522738384,0.6278680734618824
10,g030_grass_nat,11,0.041820267275152645,0.3187694620192367
10,g032_shrubs_bd,10,0.2886987012383875,0.6088468636382053
10,g033_grass_nat,11,0.0425724449642102,0.560474414227586
10,g034_grass_man,11,-0.015253305687312979,0.5278536381573103
10,g035_grass_man,10,-0.06255831021697267,0.25644789142367047
10,g036_trees_ne,10,-0.5628474890856237,0.3345665482045975
10,g037_trees_be,11,-0.1111584041524365,0.15909854845176988
10,g038_grass_nat,11,-0.41139749722792107,0.019286038692954432
10,g039_trees_be,11,-0.6672188539972159,-0.3005945506740067
10,g040_trees_be,10,-0.5415414992076433,-0.06443773031841392
10,g042_grass_nat,11,-0.9335822214813909,0.5930919262522436
10,g043_grass_man,10,-0.17078328570901746,-0.6775067681987129
10,g044_grass_man,11,-0.4252605060752441,-0.17167317138581173
10,g045_grass_nat,11,-0.2828197952652294,0.21898355120730678
10,g046_grass_man,11,0.15810819352556138,0.4963126997238886
10,g047_trees_bd,11,-0.24691689012384965,-0.07767164375806315
10,g048_shrubs_bd,11,-0.5207537103613655,-0.15126669708072596
10,g049_trees_be,11,-0.17604685011527033,-0.016651465235770675
10,g050_grass_nat,11,-0.11038664603860604,-0.12873971597098527
10,g051_shrubs_bd,11,0.17952685251941958,0.5970600542447899
10,g054_trees_be,8,-0.9133134831090735,-0.14214940330657466
10,g055_shrubs_bd,11,-0.2098142064066808,-0.001150523270862111
10,g057_grass_man,11,-0.24714023960642617,0.0293549330145312
10,g058_shrubs_be,9,-0.6591285768400605,0.34601940966204536
10,g059_grass_man,11,0.19244087923190534,0.5506924880795074
10,g060_shrubs_be,10,0.05839552344758858,0.5821075278382281
10,g061_grass_nat,11,-0.04630185346853444,0.19939582431117597
10,g062_grass_nat,11,-0.330219805584792,0.0329237454460543
10,g063_shrubs_bd,11,-0.3505044567943245,0.41056308754093057
10,g064_shrubs_be,11,-0.049143153082761515,-0.16201445470072384
10,g065_shrubs_bd,11,0.30235180079907975,0.670664441213953
10,g066_grass_nat,10,0.14538041834158733,0.48053381632410297
10,g067_grass_nat,11,0.1164556844926199,0.3696273109845847
10,g068_grass_nat,11,0.02123923636240732,0.29713255177555414
10,g069_trees_nd,8,-0.32072905419980446,0.4393265296638613
11,g012_trees_ne,8,-3.403882955983512,0.26721611782285676
11,g024_trees_ne,11,0.1093573380867765,0.6479597006037909
11,g025_grass_nat,9,-0.6341449895061753,-0.04273713086905953
11,g026_grass_nat,10,-1.6189418216214118,-0.8542823615341515
11,g029_trees_bd,9,-0.2513613977624525,0.30965131626437803
11,g030_grass_nat,11,-1.4747767808598105,-0.48491249168696726
11,g031_grass_nat,10,-0.03426122007074328,0.5238597169311539
11,g032_shrubs_bd,11,-0.6397447344884137,-0.19705510353017208
11,g033_grass_nat,11,0.1622133995744348,0.4132652405009964
11,g034_grass_man,11,-0.006531273042485575,0.2487035001795289
11,g035_grass_man,11,0.05776136815194843,0.35940696219523827
11,g036_trees_ne,10,0.22610023643372112,0.5861612331576418
11,g037_trees_be,11,0.04673548768787916,0.7804122189375953
11,g038_grass_nat,10,-0.1524966710642386,0.05371264891819089
11,g039_trees_be,10,-8.004500218023606,0.10980811054149353
11,g040_trees_be,10,-0.4032687906108414,0.4561665130761079
11,g042_grass_nat,11,0.021642583632849988,0.46210190546712543
11,g043_grass_man,11,-0.5559519299024691,0.24543963303343394
11,g044_grass_man,11,-0.028566813842394234,0.12527666174362664
11,g045_grass_nat,11,-0.3962886181782681,-0.028142483892599716
11,g046_grass_man,11,-0.0018413421535161678,0.6335892303402921
11,g047_trees_bd,11,0.08531462043714466,0.296467698893286
11,g048_shrubs_bd,11,-0.9609477736510383,-0.2790353051299236
11,g049_trees_be,11,-0.3382972488084215,0.06954744907029443
11,g050_grass_nat,11,-0.24483634940073817,-0.23872264804490986
11,g051_shrubs_bd,11,0.01731582666670528,0.6211072037858072
11,g055_shrubs_bd,11,-0.3174948927065362,-0.06273618731602126
11,g057_grass_man,11,0.24795533179429563,0.5062400598843595
11,g058_shrubs_be,10,-0.37421091417141894,0.4471978552968401
11,g059_grass_man,11,-0.6497484349787492,-0.20978937601403005
