pixel_id,row,col,lat,lon,region,dominant_pft,pft_purity,pft_entropy,mean_lai,amplitude,is_forced_anchor,frac_TREES_NE,frac_TREES_BD,frac_TREES_BE,frac_TREES_ND,frac_SHRUBS_NE,frac_SHRUBS_BE,frac_SHRUBS_BD,frac_SHRUBS_ND,frac_GRASS_NAT,frac_GRASS_MAN
px031_trees_bd,68,853,46.56666666666667,-89.22499996666667,Midwest,TREES_BD,0.7200000286102295,0.5929533243179321,1.6476056575775146,3.972224712371826,False,0.0,0.7200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2800000011920929
px032_grass_man,26,674,48.31666666666667,-96.68333330000002,Great Plains,GRASS_MAN,0.7599999904632568,0.5510799288749695,0.7316640019416809,2.5837621688842773,False,0.0,0.23999999463558197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7599999904632568
px033_trees_ne,60,1359,46.900000000000006,-68.14166663333334,Northeast,TREES_NE,0.7300000190734863,0.583258867263794,1.5358939170837402,3.4954416751861572,False,0.7300000190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27000001072883606
px034_grass_man,108,34,44.900000000000006,-123.34999996666667,Pacific Northwest,GRASS_MAN,0.7599999904632568,0.5510799288749695,1.9747271537780762,2.1771655082702637,False,0.23999999463558197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7599999904632568
px035_shrubs_nd,490,606,28.983333333333334,-99.51666663333334,Other,SHRUBS_ND,0.7599999904632568,0.5510799288749695,0.9637537002563477,0.7724703550338745,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7599999904632568,0.23999999463558197,0.0
px036_grass_man,62,867,46.81666666666667,-88.64166663333334,Midwest,GRASS_MAN,0.49000000953674316,1.0463541746139526,1.4568779468536377,3.510629415512085,False,0.0,0.25999999046325684,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.49000000953674316
px037_trees_nd,21,732,48.525000000000006,-94.26666663333334,Great Plains,TREES_ND,0.7699999809265137,0.5392763614654541,1.4972206354141235,2.854330539703369,False,0.0,0.0,0.0,0.7699999809265137,0.0,0.0,0.0,0.0,0.23000000417232513,0.0
px038_grass_nat,136,1318,43.733333333333334,-69.84999996666667,Northeast,GRASS_NAT,0.6419753432273865,0.6522731781005859,1.1375247240066528,1.8949753046035767,False,0.3580247163772583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6419753432273865,0.0
px039_trees_ne,176,1298,42.06666666666667,-70.68333330000002,Northeast,TREES_NE,0.7525773048400879,0.559485912322998,1.75141441822052,2.6584858894348145,False,0.7525773048400879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24742266535758972,0.0
px040_trees_bd,215,781,40.44166666666667,-92.22499996666667,Midwest,TREES_BD,0.6969696879386902,0.6134100556373596,0.8712857961654663,1.6720006465911865,False,0.0,0.6969696879386902,0.0,0.0,0.0,0.0,0.0,0.0,0.3030303120613098,0.0
px041_grass_nat,158,195,42.81666666666667,-116.64166663333334,Northern Rockies / Great Basin,GRASS_NAT,0.785714328289032,0.5195798277854919,0.33214694261550903,0.5156483054161072,False,0.0,0.0,0.0,0.0,0.2142857164144516,0.0,0.0,0.0,0.785714328289032,0.0
px042_grass_nat,44,757,47.56666666666667,-93.22499996666667,Midwest,GRASS_NAT,0.6499999761581421,0.6474466323852539,1.547654151916504,4.017661094665527,False,0.0,0.0,0.0,0.3499999940395355,0.0,0.0,0.0,0.0,0.6499999761581421,0.0
px043_grass_nat,35,704,47.94166666666667,-95.43333330000002,Great Plains,GRASS_NAT,0.7900000214576721,0.5139566659927368,1.1914440393447876,3.4206113815307617,False,0.0,0.20999999344348907,0.0,0.0,0.0,0.0,0.0,0.0,0.7900000214576721,0.0
px044_grass_nat,193,1275,41.35833333333334,-71.64166663333334,Northeast,GRASS_NAT,0.800000011920929,0.5004023909568787,1.7552204132080078,2.683652877807617,False,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,0.800000011920929,0.0
px045_grass_nat,448,596,30.733333333333334,-99.93333330000002,Great Plains,GRASS_NAT,0.6200000047683716,0.6640641093254089,0.6709376573562622,0.4413083791732788,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3799999952316284,0.6200000047683716,0.0
px046_grass_nat,538,609,26.983333333333334,-99.39166663333334,Other,GRASS_NAT,0.8202247619628906,0.47105252742767334,0.7258274555206299,0.5832884311676025,False,0.0,0.0,0.0,0.17977528274059296,0.0,0.0,0.0,0.0,0.8202247619628906,0.0
px047_grass_nat,369,300,34.025000000000006,-112.26666663333334,Southwest,GRASS_NAT,0.8199999928474426,0.47139349579811096,0.30922114849090576,0.15196651220321655,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18000000715255737,0.8199999928474426,0.0
px048_grass_nat,114,181,44.650000000000006,-117.22499996666667,Pacific Northwest,GRASS_NAT,0.6299999952316284,0.6589556932449341,0.4953233301639557,0.9624691009521484,False,0.0,0.0,0.0,0.0,0.3700000047683716,0.0,0.0,0.0,0.6299999952316284,0.0
px049_grass_nat,453,615,30.525,-99.14166663333334,Great Plains,GRASS_NAT,0.6399999856948853,0.6991131901741028,0.857157289981842,0.6981481909751892,False,0.0,0.009999999776482582,0.0,0.0,0.0,0.0,0.3499999940395355,0.0,0.6399999856948853,0.0
px050_shrubs_ne,337,299,35.358333333333334,-112.30833330000002,Southwest,SHRUBS_NE,0.6800000071525574,0.6268694400787354,0.402884840965271,0.3473305404186249,False,0.0,0.0,0.0,0.0,0.6800000071525574,0.0,0.0,0.0,0.3199999928474426,0.0
px051_shrubs_ne,10,110,48.983333333333334,-120.18333330000002,Pacific Northwest,SHRUBS_NE,0.5300000309944153,0.9856724739074707,0.7407988905906677,1.1162701845169067,False,0.15000002086162567,0.0,0.0,0.0,0.5300000309944153,0.0,0.0,0.0,0.320000022649765,0.0
px052_shrubs_bd,114,982,44.650000000000006,-83.84999996666667,Midwest,SHRUBS_BD,0.5099999904632568,0.9947689771652222,1.8202269077301025,3.7454440593719482,False,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.5099999904632568,0.0,0.3400000035762787,0.0
px053_shrubs_ne,179,70,41.94166666666667,-121.84999996666667,California,SHRUBS_NE,0.8500000238418579,0.42270907759666443,0.6150462031364441,0.9481567144393921,False,0.0,0.0,0.0,0.0,0.8500000238418579,0.0,0.0,0.0,0.15000000596046448,0.0
px054_shrubs_ne,380,173,33.56666666666667,-117.55833330000002,California,SHRUBS_NE,0.8500000238418579,0.42270907759666443,0.6313030123710632,0.5902872681617737,False,0.15000000596046448,0.0,0.0,0.0,0.8500000238418579,0.0,0.0,0.0,0.0,0.0
