pixel_id,R2_baseline,RMSE_baseline,R2_fractional,RMSE_fractional,R2_dominant,RMSE_dominant,R2_shuffled,RMSE_shuffled,dominant_pft,pft_purity,pft_entropy,delta_fractional_vs_baseline,delta_fractional_vs_shuffled,delta_dominant_vs_baseline
px046_grass_nat,0.8223820373728303,0.0727060350668177,0.8329200269083203,0.0705162514659557,0.8335388902076437,0.0703855344064855,0.8341114797852484,0.070264374753268,GRASS_NAT,0.8202247619628906,0.4710525274276733,0.010537989535490011,-0.001191452876928012,0.01115685283481338
px047_grass_nat,-0.3475778734163273,0.1059242327297363,-0.3308696349485884,0.1052655222072613,-0.3298720842190317,0.1052260640288742,-0.3280435272945834,0.1051536969054651,GRASS_NAT,0.8199999928474426,0.4713934957981109,0.01670823846773889,-0.0028261076540049834,0.017705789197295596
px048_grass_nat,0.9298278877730548,0.1037713424208571,0.927960810495604,0.1051428075132425,0.9277613973834572,0.1052882308929762,0.928158317721783,0.1049985754805251,GRASS_NAT,0.6299999952316284,0.6589556932449341,-0.0018670772774508348,-0.00019750722617906113,-0.0020664903895976083
px049_grass_nat,0.4368742795814649,0.1129069788960252,0.439991431964068,0.1125940499656851,0.4399216047447284,0.1126010693978919,0.4396248474271215,0.1126308962636602,GRASS_NAT,0.6399999856948853,0.6991131901741028,0.0031171523826030723,0.0003665845369464904,0.0030473251632635034
px050_shrubs_ne,0.8897378330249095,0.0519793968836786,0.8868429675927593,0.0526573196610311,0.8870150737984311,0.0526172598438099,0.8883409043334243,0.0523076281193127,SHRUBS_NE,0.6800000071525574,0.6268694400787354,-0.0028948654321502287,-0.0014979367406650068,-0.002722759226478355
px051_shrubs_ne,0.8746852409726085,0.1429660797456503,0.8739841513985861,0.1433654430340025,0.8739340611382607,0.1433939334936017,0.8740031929975909,0.1433546110218349,SHRUBS_NE,0.5300000309944153,0.9856724739074708,-0.0007010895740223733,-1.9041599004787635e-05,-0.0007511798343478038
px052_shrubs_bd,0.9514084810065238,0.3280438186765295,0.9505897444580907,0.330795940284342,0.9505681651570136,0.3308681678602474,0.9506047986219388,0.3307455435033472,SHRUBS_BD,0.5099999904632568,0.9947689771652222,-0.0008187365484330078,-1.5054163848060576e-05,-0.0008403158495101648
px053_shrubs_ne,0.9140633266812886,0.0790252087546432,0.9142257781619816,0.0789504802689681,0.9141172574469348,0.0790004081735234,0.9138655692814748,0.0791160828765302,SHRUBS_NE,0.8500000238418579,0.4227090775966644,0.0001624514806929378,0.0003602088805068071,5.3930765646192924e-05
px054_shrubs_ne,0.8508453607926745,0.0713586596411657,0.8527736657323541,0.0708958886207211,0.8527395169254066,0.0709041102125147,0.8530100500991882,0.0708389510758781,SHRUBS_NE,0.8500000238418579,0.4227090775966644,0.0019283049396796592,-0.00023638436683404151,0.0018941561327321388
px055_shrubs_bd,0.8055156286178946,0.0556110680837218,0.8149582541177818,0.0542442540509734,0.8147067713628575,0.0542811021217385,0.8170854386629393,0.0539315649511031,SHRUBS_BD,0.8100000023841858,0.4862229228019714,0.00944262549988717,-0.002127184545157479,0.00919114274496291
