,tmmx,tmmn,pr,srad,vpd,sph,vs
2021-06-28,302.9261,296.4638,0.6971359,207.03334,0.68933535,0.016230682,1.9650301
2021-06-29,303.37915,294.9636,3.4065247,213.84074,0.74008226,0.015806261,2.139537
2021-06-30,302.76837,296.14658,9.256363,196.06,0.48391414,0.017293982,1.7908636
2021-07-01,301.91516,295.15344,22.720814,164.93259,0.33310986,0.017295575,1.3464338
2021-07-02,303.51556,295.29517,15.143394,182.94444,0.36085367,0.01734926,1.9826429
2021-07-03,302.71655,296.71698,3.0574799,171.69778,0.454571,0.017657137,2.678043
2021-07-04,301.22784,296.29877,31.302929,136.42667,0.25267863,0.018241389,1.27389
2021-07-05,299.6731,295.36276,10.72073,126.55852,0.17654324,0.017679378,0.6342333
2021-07-06,303.78882,295.07892,2.471447,187.86519,0.44658613,0.017493611,1.4495378
2021-07-07,299.90906,297.1999,59.461594,39.893333,0.23441267,0.01822396,3.8489575
2021-07-08,303.60223,296.91104,2.067089,240.43556,0.73201776,0.017180037,3.8588598
2021-07-09,303.8301,297.63324,7.3871613,202.26074,0.59020233,0.018549467,2.366014
2021-07-10,304.95383,295.5107,0.0,159.28369,0.74568534,0.01592225,2.1030462
2021-07-11,305.51752,295.77524,0.20074844,264.29257,0.7939787,0.01657179,1.8480337
2021-07-12,304.55914,295.12366,2.2835732,253.54591,0.83454037,0.016342971,2.290326
2021-07-13,305.25195,295.46555,5.531788,265.18445,0.83994937,0.016339865,1.1927611
2021-07-14,304.91876,294.79468,0.9841919,276.18964,0.7376797,0.01691267,1.551647
2021-07-15,305.67297,295.3864,0.6289482,274.20667,0.9490249,0.016657032,1.4842544
2021-07-16,307.93375,296.25818,0.005722046,298.48,1.2676189,0.015601536,1.6670797
2021-07-17,306.5107,296.95242,0.99754333,264.96298,1.1739097,0.016590977,1.5996763
2021-07-18,305.00894,296.90692,4.193306,210.84741,0.8922012,0.016940143,1.3404428
2021-07-19,305.09357,296.8884,2.1719933,197.27112,0.7297487,0.016940663,1.3619611
2021-07-20,303.83423,296.68213,8.004189,191.00963,0.62211967,0.017587174,1.8160138
2021-07-21,304.99738,296.18976,6.2322617,185.58888,0.565284,0.017658828,1.5354868
2021-07-22,306.86383,297.43762,0.6814003,225.78369,0.8021383,0.018256495,1.9539807
2021-07-23,306.5692,297.32394,15.799999,235.59409,0.61154246,0.018160606,0.30406833
2021-07-24,305.8969,296.47546,0.22506714,262.38223,0.7825155,0.017382009,2.2971754
2021-07-25,306.0551,294.5453,0.002861023,295.25705,1.0115371,0.015625628,2.5390542
2021-07-26,302.5337,297.18762,15.434265,106.74074,0.37805462,0.01881076,1.868878
2021-07-27,303.39468,297.6319,5.5508614,202.22888,0.6031816,0.01894933,1.1742915
2021-07-28,305.00146,297.45618,5.8784485,250.32889,0.6233182,0.018519647,1.3239996
2021-07-29,306.59714,296.56717,6.8440437,223.1763,0.61697865,0.018609531,0.8172375
2021-07-30,307.68274,296.5868,0.035762787,298.8526,0.7773206,0.018362945,1.7191103
2021-07-31,307.2773,297.95337,0.5450249,263.35333,1.0500832,0.018572316,2.9649994
2021-08-01,304.85516,298.05942,4.8422813,199.76741,0.83903885,0.018678045,2.8334882
2021-08-02,304.7738,296.91992,7.326603,218.04147,0.6250603,0.018226493,1.9326462
2021-08-03,300.9428,296.4143,15.431881,102.21555,0.27236772,0.018064976,1.1241637
2021-08-04,303.0833,296.06848,11.868954,149.72444,0.29104114,0.017840045,0.5782536
2021-08-05,299.75598,295.82883,13.261318,55.739258,0.120901346,0.017967667,1.218251
2021-08-06,304.29987,296.529,19.1226,155.04964,0.31003237,0.01809933,1.8406895
2021-08-07,301.97903,296.87155,3.2930374,163.48222,0.3215785,0.018526068,1.4380312
2021-08-08,305.51797,296.02,1.7499924,246.86963,0.6063287,0.018327784,0.81050116
