site,model,predictor_set,n_predictors,predictors,RMSE,MAE,R2,Pearson_r,baseline_RMSE,baseline_MAE,baseline_R2,baseline_Pearson_r,delta_RMSE,delta_MAE,delta_R2,delta_Pearson_r
high_amplitude_deciduous,SVM,no_tmmx,6,"tmmn,pr,srad,vpd,sph,vs",0.4597205632009716,0.3495684733856344,0.9471540796095888,0.9751894557066167,0.4435991550983559,0.3355054587665454,0.950795476931212,0.9770896915210188,0.016121408102615697,0.014063014619088987,-0.0036413973216232742,-0.0019002358144020182
high_amplitude_deciduous,AELSTM,no_vpd,6,"tmmx,tmmn,pr,srad,sph,vs",0.5480223419112755,0.3380264871481706,0.9249034242418056,0.961749953741159,0.5131185490276505,0.3333454675486489,0.9341646672364492,0.966832290323584,0.034903792883624996,0.004681019599521663,-0.009261242994643593,-0.005082336582424962
high_amplitude_deciduous,BiLSTM,no_vpd,6,"tmmx,tmmn,pr,srad,sph,vs",0.3974820708909832,0.2836942589608595,0.9604943971278666,0.9807948324493636,0.4152603391336414,0.2862535212722756,0.956881413587146,0.9794111563358704,-0.017778268242658213,-0.0025592623114161217,0.0036129835407205935,0.0013836761134932152
high_amplitude_deciduous,LSTM,no_vpd,6,"tmmx,tmmn,pr,srad,sph,vs",0.4273386054100952,0.2947488591306086,0.9543366401867074,0.9777560874664244,0.4841476706470805,0.3293260085174674,0.9413889773009724,0.9710134503651208,-0.05680906523698526,-0.034577149386858796,0.012947662885735012,0.006742637101303628
high_amplitude_deciduous,GRU,no_vpd,6,"tmmx,tmmn,pr,srad,sph,vs",0.412438413765804,0.2956297842574845,0.957465452024827,0.9799369210411016,0.393047223676,0.2864433105708777,0.9613710350157588,0.9819227885206468,0.019391190089804,0.0091864736866068,-0.0039055829909317996,-0.0019858674795452114
high_amplitude_deciduous,RNN,no_vpd,6,"tmmx,tmmn,pr,srad,sph,vs",0.4743705287997113,0.3137403419247953,0.943732320427531,0.9727922992629664,0.4260640456792504,0.2955901090790109,0.95460862069852,0.9791241216637164,0.04830648312046093,0.018150232845784375,-0.01087630027098907,-0.006331822400750031
high_amplitude_deciduous,CNN,no_vpd,6,"tmmx,tmmn,pr,srad,sph,vs",0.4553752245287207,0.3190480457703636,0.9481483712611918,0.9740428241645228,0.487907218404951,0.3438821474669494,0.9404751797263274,0.9704944319630406,-0.03253199387623029,-0.024834101696585786,0.007673191534864343,0.0035483922014821756
high_amplitude_deciduous,RF,no_vpd,6,"tmmx,tmmn,pr,srad,sph,vs",0.4142758385906454,0.2893148108304301,0.957085622595909,0.9795235611819832,0.4141766503085155,0.2858543115812303,0.9571061697454496,0.9792283392968696,9.918828212984732e-05,0.0034604992491997777,-2.054714954058401e-05,0.0002952218851136612
high_amplitude_deciduous,SVM,no_vpd,6,"tmmx,tmmn,pr,srad,sph,vs",0.4628919254760125,0.3567438258791441,0.9464224541822858,0.9742386606403944,0.4435991550983559,0.3355054587665454,0.950795476931212,0.9770896915210188,0.019292770377656587,0.02123836711259869,-0.0043730227489262585,-0.002851030880624328
high_amplitude_deciduous,AELSTM,no_vs,6,"tmmx,tmmn,pr,srad,vpd,sph",0.515129543596927,0.3499214068480448,0.9336476173865608,0.9670202346906676,0.5131185490276505,0.3333454675486489,0.9341646672364492,0.966832290323584,0.0020109945692764475,0.01657593929939588,-0.0005170498498884291,0.0001879443670835812
